company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Pink Hippo Tree Surgery,,Storage,Bracknell,,5,317,07854393617,https://www.ratedpeople.com/profile/pinkhippotreesurgery,ratedpeople,1,
ES Electrical & Building Services,,Storage,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Storage,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
RJ Mullan,,Storage,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
S&C Cleaning Services,,Storage,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,Storage,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Correct Window and Door Repairs Ltd,,Storage,,,10,121,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople,1,
KO Logistics Ltd,,Storage,Mitcham,,5,113,,https://www.ratedpeople.com/profile/ko-logistics,ratedpeople,1,
Plum Building Services LTD,,Storage,Welling,,5,99,07984190655,https://www.ratedpeople.com/profile/plum-property-services-limited,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Storage,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
Sydney Beam Full House Maintenance and Refurbishment,,Storage,Dartford,,5,91,,https://www.ratedpeople.com/profile/sidney-beam-service-maintenance,ratedpeople,1,
Weathertite Constructions,,Storage,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
Cornel Ilea,,Storage,,,10,64,,https://www.ratedpeople.com/profile/cornel-ilea,ratedpeople,1,
TIMI DECS LTD,,Storage,Aylesbury,,5,59,,https://www.ratedpeople.com/profile/constantin-tiberiu-halangescu,ratedpeople,1,
JSilva Logistics,,Storage,London,,5,59,07496315191,https://www.ratedpeople.com/profile/jsilva-logistics,ratedpeople,1,
BB Painting and Decorating,,Storage,London,,5,56,,https://www.ratedpeople.com/profile/bb-painting-and-decorating-newham,ratedpeople,1,
Evergreen Removals & Storage,,Storage,,,10,56,,https://www.ratedpeople.com/profile/best4less247,ratedpeople,1,
Boss Plumbing services,,Storage,Welwyn Garden City,,5,55,,https://www.ratedpeople.com/profile/boss-plumbing-services,ratedpeople,1,
A CONSTRUCTION PROFESSIONAL BUILDS LIMITED,,Storage,Dagenham,,4.5,55,07784985626,https://www.ratedpeople.com/profile/aconstructionbuilds,ratedpeople,1,
Mark Dalton,,Storage,London,,5,55,,https://www.ratedpeople.com/profile/mark-dalton,ratedpeople,1,
DB Home Improvements,,Storage,Walsall,,4.5,133,,https://www.ratedpeople.com/profile/daniel-bradshaw,ratedpeople,1,
Smiths & Sons,,Storage,Taunton,,5,103,07563276132,https://www.ratedpeople.com/profile/b-and-p-landscape-gardening,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Storage,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
