company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Timber Preservation Woodworm Rot,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
wood doctor,,Timber Preservation Woodworm Rot,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
ES Electrical & Building Services,,Timber Preservation Woodworm Rot,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Timber Preservation Woodworm Rot,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Timber Preservation Woodworm Rot,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
PREMIER ROOFING & GUTTERS LIMITED,,Timber Preservation Woodworm Rot,Ox33 1xw,,5,194,07551880009,https://www.ratedpeople.com/profile/premier-roofing-gutters-and-driveways-limited,ratedpeople,1,
MM Smooth Constructions,,Timber Preservation Woodworm Rot,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Timber Preservation Woodworm Rot,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Timber Preservation Woodworm Rot,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Newman & Sons,,Timber Preservation Woodworm Rot,Reading,,5,123,,https://www.ratedpeople.com/profile/newman-and-sons,ratedpeople,1,
Hollywood joinery an maintenance,,Timber Preservation Woodworm Rot,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Timber Preservation Woodworm Rot,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
All counties contractors,,Timber Preservation Woodworm Rot,Yateley,,5,111,,https://www.ratedpeople.com/profile/all-counties-contractors,ratedpeople,1,
Property Maintenance,,Timber Preservation Woodworm Rot,London,,5,109,07306334177,https://www.ratedpeople.com/profile/filip-golisz,ratedpeople,1,
Oliver Deyoung,,Timber Preservation Woodworm Rot,Camberley,,5,106,,https://www.ratedpeople.com/profile/lt-construction-ashford,ratedpeople,1,
G Greaves Carpentry & Building Services,,Timber Preservation Woodworm Rot,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
Slam Projects,,Timber Preservation Woodworm Rot,Camberley,,5,99,07541631793,https://www.ratedpeople.com/profile/slam-projects,ratedpeople,1,
Home improvements specialist Ltd,,Timber Preservation Woodworm Rot,Ilford,,5,102,07780096111,https://www.ratedpeople.com/profile/a-painter-near-you,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Timber Preservation Woodworm Rot,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
DW Plastering Services,,Timber Preservation Woodworm Rot,Houghton Regis,,4.5,89,07711224566,https://www.ratedpeople.com/profile/dw-plastering-services-eastern,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Timber Preservation Woodworm Rot,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
RSM Building Services,,Timber Preservation Woodworm Rot,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Chris' Home Services,,Timber Preservation Woodworm Rot,Chippenham,,5,83,,https://www.ratedpeople.com/profile/chris-home-services,ratedpeople,1,
d lee & sons property maintenance,,Timber Preservation Woodworm Rot,Weston-super-Mare,,5,82,,https://www.ratedpeople.com/profile/d-lee-and-sons-property-maintenance,ratedpeople,1,
MB bricklaying services,,Timber Preservation Woodworm Rot,Warwickshire,,4.5,70,,https://www.ratedpeople.com/profile/mb-bricklaying-services,ratedpeople,1,
