company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
D&S Plumbing and Heating Services,,Water Underfloor Heating,Uxbridge,,5,819,07737716360,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople,1,
Cn Construction&Gardening Ltd,,Water Underfloor Heating,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
K Marsh Plumbing & Heating LTD,,Water Underfloor Heating,Mitcham,,4.5,518,07776027235,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople,1,
Nick Plumbing,,Water Underfloor Heating,Morden,,5,317,,https://www.ratedpeople.com/profile/nick-plumbing,ratedpeople,1,
MF Plumbing and Heating,,Water Underfloor Heating,Barnet,,5,280,,https://www.ratedpeople.com/profile/mfplumbingandheating,ratedpeople,1,
ElectricFix Science Ltd,,Water Underfloor Heating,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
London Gas,,Water Underfloor Heating,London,,5,260,07909903256,https://www.ratedpeople.com/profile/london-gas,ratedpeople,1,
Modern Bathrooms LT,,Water Underfloor Heating,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Water Underfloor Heating,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
Lewis Willoughby,,Water Underfloor Heating,Dunmow,,5,198,,https://www.ratedpeople.com/profile/lewis-willoughby,ratedpeople,1,
MM Smooth Constructions,,Water Underfloor Heating,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
All Time Heating and Plumbing,,Water Underfloor Heating,Uxbridge,,5,193,,https://www.ratedpeople.com/profile/jack-cooper,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Water Underfloor Heating,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Draiton Plumbing,,Water Underfloor Heating,,,9,190,,https://www.ratedpeople.com/profile/draiton-plumbing,ratedpeople,1,
jwrogers plumbing/heating,,Water Underfloor Heating,Reading,,5,182,,https://www.ratedpeople.com/profile/jwrogers-plumbingheating,ratedpeople,1,
Aaron Construction,,Water Underfloor Heating,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
