company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
SUNNY CLEAN,,Window Cleaning,Romford,,4.5,222,,https://www.ratedpeople.com/profile/sunnyclean,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Window Cleaning,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Window Cleaning,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
Correct Window and Door Repairs Ltd,,Window Cleaning,,,10,121,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople,1,
Hollywood joinery an maintenance,,Window Cleaning,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Window Cleaning,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
G Greaves Carpentry & Building Services,,Window Cleaning,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
Plum Building Services LTD,,Window Cleaning,Welling,,5,99,07984190655,https://www.ratedpeople.com/profile/plum-property-services-limited,ratedpeople,1,
Weathertite Constructions,,Window Cleaning,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
Cornel Ilea,,Window Cleaning,,,10,64,,https://www.ratedpeople.com/profile/cornel-ilea,ratedpeople,1,
SQUARE MILE CLEANING LIMITED,,Window Cleaning,London,,5,63,07940349289,https://www.ratedpeople.com/profile/square-mile-cleaning-limited,ratedpeople,1,
A CONSTRUCTION PROFESSIONAL BUILDS LIMITED,,Window Cleaning,Dagenham,,4.5,55,07784985626,https://www.ratedpeople.com/profile/aconstructionbuilds,ratedpeople,1,
sfgardenscapes,,Window Cleaning,Drive,,4.5,55,,https://www.ratedpeople.com/profile/sfgardenscapes,ratedpeople,1,
Leonard Goli,,Window Cleaning,London,,4.5,51,,https://www.ratedpeople.com/profile/leonard-goli,ratedpeople,1,
E Electrical,,Window Cleaning,London,,5,48,,https://www.ratedpeople.com/profile/rer-investments,ratedpeople,1,
DETAILS CONSTRUCTION,,Window Cleaning,London,,4.5,46,,https://www.ratedpeople.com/profile/details-decorating,ratedpeople,1,
MJJ Builders,,Window Cleaning,Waltham Cross,,5,44,,https://www.ratedpeople.com/profile/mjj-builders,ratedpeople,1,
VAL Window Cleaning,,Window Cleaning,Watford,,5,43,,https://www.ratedpeople.com/profile/val-cleaning-service,ratedpeople,1,
MW garden & property services,,Window Cleaning,Morden,,5,40,,https://www.ratedpeople.com/profile/mw-garden-and-property-services,ratedpeople,1,
Groundforce1 Ltd,,Window Cleaning,Bromley,,5,39,07923660568,https://www.ratedpeople.com/profile/one-4-gardens,ratedpeople,1,
FlowTeck Roofing,,Window Cleaning,Pershore,,5,271,,https://www.ratedpeople.com/profile/flowteck-roofing,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Window Cleaning,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
