company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Wooden Sash Window,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
J B CARPENTRY,,Wooden Sash Window,Chislehurst,,5,495,07904988509,https://www.ratedpeople.com/profile/j-b-carpentry-south-east,ratedpeople,1,
wood doctor,,Wooden Sash Window,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
ES Electrical & Building Services,,Wooden Sash Window,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Bennbrook Windows,,Wooden Sash Window,Harlow,,4.5,217,07794343648,https://www.ratedpeople.com/profile/bennbrook-windows,ratedpeople,1,
EPRLocksmith,,Wooden Sash Window,Ashford,,5,212,07454482395,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Wooden Sash Window,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Wooden Sash Window,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Wooden Sash Window,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Wooden Sash Window,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
CMS Carpentry,,Wooden Sash Window,Olney,,5,149,,https://www.ratedpeople.com/profile/cms-carpentry,ratedpeople,1,
The Ruby Team,,Wooden Sash Window,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
CERTIFIED GROUP LTD,,Wooden Sash Window,London,,5,132,,https://www.ratedpeople.com/profile/certified-gas-heating,ratedpeople,1,
Correct Window and Door Repairs Ltd,,Wooden Sash Window,,,10,121,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople,1,
Antis Laipaks,,Wooden Sash Window,London,,5,117,,https://www.ratedpeople.com/profile/antis-laipaks,ratedpeople,1,
Strong Wood Carpentry,,Wooden Sash Window,Romsey,,5,115,,https://www.ratedpeople.com/profile/balint-bora-carpentry,ratedpeople,1,
POL-BUILD Professional Polish Builders,,Wooden Sash Window,Epsom,,5,118,07549533755,https://www.ratedpeople.com/profile/pol-build-professional-polish-builders,ratedpeople,1,
Hollywood joinery an maintenance,,Wooden Sash Window,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Wooden Sash Window,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
J MCMAHON LIMITED,,Wooden Sash Window,Luton,,5,147,07340294129,https://www.ratedpeople.com/profile/am-carpentryjfkjkf,ratedpeople,1,
Top Notch Joinery,,Wooden Sash Window,Pontypool,,5,369,07561197281,https://www.ratedpeople.com/profile/adam-unwin-carpentry,ratedpeople,1,
steve seymour carpentry,,Wooden Sash Window,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
RSM Building Services,,Wooden Sash Window,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Underwood home improvements an maintenance,,Wooden Sash Window,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Property Renovation&Decorating Services,,Wooden Sash Window,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Wooden Sash Window,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
JH Mapp Fencing and Landscaping,,Wooden Sash Window,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
Wayne Parker,,Wooden Sash Window,Midsomer Norton,,5,69,,https://www.ratedpeople.com/profile/wayne-parker,ratedpeople,1,
B Shakespeare,,Wooden Sash Window,Bristol,,4.5,68,,https://www.ratedpeople.com/profile/b-shakespeare,ratedpeople,1,
Oliver Kent,,Wooden Sash Window,Cheltenham,,5,65,07557271029,https://www.ratedpeople.com/profile/oliver-kent,ratedpeople,1,
