company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Don’t have a business name,,Wooden Staircases,,,4.8,16,,https://www.myjobquote.co.uk/t/dont-have-a-business-name-6 | https://www.myjobquote.co.uk/t/dont-have-a-business-name-6,myjobquote,1,
MDF Interior,,Wooden Staircases,,,5,3,,https://www.myjobquote.co.uk/t/mdf-interior | https://www.myjobquote.co.uk/t/mdf-interior,myjobquote,1,
Velchev89 construction LTD,,Wooden Staircases,,,5,24,,https://www.myjobquote.co.uk/t/velchev89-construction-ltd | https://www.myjobquote.co.uk/t/velchev89-construction-ltd,myjobquote,1,
2Stay Construction,,Wooden Staircases,,,5,14,,https://www.myjobquote.co.uk/t/2stay-construction | https://www.myjobquote.co.uk/t/2stay-construction,myjobquote,1,
NJP Installations,,Wooden Staircases,,,5,13,,https://www.myjobquote.co.uk/t/njp-installations | https://www.myjobquote.co.uk/t/njp-installations,myjobquote,1,
Albion Building Services,,Wooden Staircases,,,5,3,,https://www.myjobquote.co.uk/t/albion-building-services | https://www.myjobquote.co.uk/t/albion-building-services,myjobquote,1,
K & Son Property Solutions,,Wooden Staircases,,,5,3,,https://www.myjobquote.co.uk/t/k-son-property-solutions | https://www.myjobquote.co.uk/t/k-son-property-solutions,myjobquote,1,
Vlad Bargau,,Wooden Staircases,,,5,3,,https://www.myjobquote.co.uk/t/vlad-bargau | https://www.myjobquote.co.uk/t/vlad-bargau,myjobquote,1,
Jake Mitchell Carpentry & Joinery,,Wooden Staircases,,,5,1,,https://www.myjobquote.co.uk/t/jake-mitchell-carpentry-joinery | https://www.myjobquote.co.uk/t/jake-mitchell-carpentry-joinery,myjobquote,1,
Mark Atkins Carpentry,,Wooden Staircases,,,5,14,,https://www.myjobquote.co.uk/t/mark-atkins-carpentry | https://www.myjobquote.co.uk/t/mark-atkins-carpentry,myjobquote,1,
Joni Cota,,Wooden Staircases,,,5,4,07418340229,https://www.myjobquote.co.uk/t/joni-cota | https://www.myjobquote.co.uk/t/joni-cota,myjobquote,1,
