company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
JMac Builders,,Carpenter,,,4.8,85,,ID Checked,,,2002,https://www.myjobquote.co.uk/t/jmac-builders,myjobquote
Brian Bolger,,Carpenter,,,5,59,,ID Checked,,,1998,https://www.myjobquote.co.uk/t/brian-bolger,myjobquote
Velchev89 construction LTD,,Carpenter,,,5,24,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/velchev89-construction-ltd,myjobquote
Murtadah,,Carpenter,,,5,23,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/murtadah,myjobquote
VDB Wood Work & Maintenance,,Carpenter,,,5,19,,ID Checked; Public Liability Insurance,,,2016,https://www.myjobquote.co.uk/t/vdb-wood-work-maintenance,myjobquote
Don’t have a business name,,Carpenter,,,5,16,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/dont-have-a-business-name-6,myjobquote
2Stay Construction,,Carpenter,,,5,14,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/2stay-construction,myjobquote
NJP Installations,,Carpenter,,,5,13,,ID Checked,,,1995,https://www.myjobquote.co.uk/t/njp-installations,myjobquote
Elun interior construction group ltd,,Carpenter,,,5,8,,ID Checked,,,1997,https://www.myjobquote.co.uk/t/elun-interior-construction-group-ltd,myjobquote
Albion Building Services,,Carpenter,,,5,3,,ID Checked,,,1991,https://www.myjobquote.co.uk/t/albion-building-services,myjobquote
Vlad Bargau,,Carpenter,,,5,3,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/vlad-bargau,myjobquote
K & Son Property Solutions,,Carpenter,,,5,3,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/k-son-property-solutions,myjobquote
Jake Mitchell Carpentry & Joinery,,Carpenter,,,5,1,,ID Checked; Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/jake-mitchell-carpentry-joinery,myjobquote
Mark Atkins Carpentry,,Carpenter,,,5,14,,ID Checked,,,2013,https://www.myjobquote.co.uk/t/mark-atkins-carpentry,myjobquote
JT Kitchen Installation,,Carpenter,,,5,7,,ID Checked; Public Liability Insurance,,,2016,https://www.myjobquote.co.uk/t/jt-kitchen-installation,myjobquote
Joni Cota,,Carpenter,,,5,4,07418340229,ID Checked,,,Jun 2025,https://www.myjobquote.co.uk/t/joni-cota,myjobquote
mirek,,Carpenter,,,5,3,,ID Checked,,,2013,https://www.myjobquote.co.uk/t/mirek-8,myjobquote
Morgan&#039;s Maintenance,,Carpenter,,,5,3,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/morgans-maintenance-1,myjobquote
Truecraft building and carpentry,,Carpenter,,,5,1,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/truecraft-building-and-carpentry,myjobquote
NMW Carpentry & Building Ltd,,Carpenter,,,5,1,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/nmw-carpentry-building-ltd,myjobquote
