company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
OES Electrical Services,,Electrician,,,4.9,108,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/oes-electrical-services,myjobquote
PR Power Services Ltd,,Electrician,,,5,106,07418364451,ID Checked; Public Liability Insurance,,,2022,https://www.myjobquote.co.uk/t/pr-power-services-ltd,myjobquote
RJS Electrical (Surrey) Ltd,,Electrician,,,5,80,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/rjs-electrical-surrey-ltd,myjobquote
Epic Engineering,,Electrician,,,5,54,07451271572,ID Checked,,,2006,https://www.myjobquote.co.uk/t/epic-engineering,myjobquote
North London Electricians,,Electrician,,,5,48,07441473224,ID Checked,,,2022,https://www.myjobquote.co.uk/t/north-london-electricians,myjobquote
Franck Sparks,,Electrician,,,5,38,,ID Checked,,,Nov 2023,https://www.myjobquote.co.uk/t/franck-sparks,myjobquote
CGi MultiTrade Ltd,,Electrician,,,4,31,,ID Checked,,,1998,https://www.myjobquote.co.uk/t/cgi-multitrade-ltd,myjobquote
OSS Electrician Service,,Electrician,,,5,30,,ID Checked,,,1994,https://www.myjobquote.co.uk/t/oss-electrician-service,myjobquote
Electricure Ltd,,Electrician,,,5,20,,ID Checked; Public Liability Insurance,,,2014,https://www.myjobquote.co.uk/t/electricure-ltd,myjobquote
TGT Electrical Solutions,,Electrician,,,5,20,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/tgt-electrical-solutions,myjobquote
ZapCo Electrical,,Electrician,,,5,20,,ID Checked; Public Liability Insurance,,,2022,https://www.myjobquote.co.uk/t/zapco-electrical,myjobquote
GFL Electrical,,Electrician,,,5,20,,ID Checked; Public Liability Insurance,,,2023,https://www.myjobquote.co.uk/t/gfl-electrical,myjobquote
Livewiresparky Ltd,,Electrician,,,5,16,,ID Checked; Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/livewiresparky-ltd,myjobquote
Bouazza Hssini Harak,,Electrician,,,5,15,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/bouazza-hssini-harak,myjobquote
Felix Electrical Services Ltd,,Electrician,,,5,10,,ID Checked; Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/felix-electrical-services-ltd,myjobquote
Surge solutions,,Electrician,,,5,9,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/surge-solutions,myjobquote
Nass K,,Electrician,,,5,9,,ID Checked,,,Oct 2023,https://www.myjobquote.co.uk/t/nass-k,myjobquote
MUNOTEC ELECTRICAL LTD,,Electrician,,,5,8,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/munotec-electrical-ltd,myjobquote
LJC Property Services,,Electrician,,,5,8,,ID Checked,,,Mar 2024,https://www.myjobquote.co.uk/t/ljc-property-services,myjobquote
The House Doctor UK,,Electrician,,,5,8,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/the-house-doctor-uk,myjobquote
Electrical Facilities,,Electrician,,,5,26,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/electrical-facilities,myjobquote
AK Electrics,,Electrician,,,5,26,,ID Checked; Public Liability Insurance,,,2016,https://www.myjobquote.co.uk/t/ak-electrics-1,myjobquote
Bravo Electrical,,Electrician,,,4,24,07418317791,ID Checked,,,2023,https://www.myjobquote.co.uk/t/bravo-electrical,myjobquote
JMB Electrical Services,,Electrician,,,5,23,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/jmb-electrical-services,myjobquote
Taylan electrics,,Electrician,,,5,19,,ID Checked; Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/taylan-electrics,myjobquote
AK Power,,Electrician,,,5,17,,ID Checked,,,2003,https://www.myjobquote.co.uk/t/ak-power,myjobquote
Super Sparki,,Electrician,,,5,14,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/super-sparki,myjobquote
AMD Electrics,,Electrician,,,5,12,,ID Checked; Public Liability Insurance,,,2012,https://www.myjobquote.co.uk/t/amd-electrics,myjobquote
Wired Safe LTD,,Electrician,,,5,11,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/wired-safe-ltd,myjobquote
Moses services,,Electrician,,,5,6,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/moses-services-1,myjobquote
PH electrical,,Electrician,,,5,4,,ID Checked; Public Liability Insurance,,,2019,https://www.myjobquote.co.uk/t/ph-electrical-2,myjobquote
SM ELECTRICAL,,Electrician,,,5,3,,ID Checked,,,2013,https://www.myjobquote.co.uk/t/sm-electrical-13,myjobquote
A Salim,,Electrician,,,5,2,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/a-salim,myjobquote
Simply Electrical Contractors Ltd,,Electrician,,,5,2,,ID Checked; Public Liability Insurance,,,2022,https://www.myjobquote.co.uk/t/simply-electrical-contractors-ltd,myjobquote
Volodymyr,,Electrician,,,5,1,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/volodymyr-32,myjobquote
A.B.D ELECTRICAL,,Electrician,,,5,1,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/abd-electrical,myjobquote
Gabriel,,Electrician,,,5,1,,ID Checked,,,Jul 2025,https://www.myjobquote.co.uk/t/gabriel-87,myjobquote
Denko Current Solution,,Electrician,,,5,1,,ID Checked; Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/denko-current-solution,myjobquote
ET - Electrical Engineering,,Electrician,,,5,44,,ID Checked,,,2012,https://www.myjobquote.co.uk/t/et-electrical-engineering,myjobquote
OMW Electrics,,Electrician,,,5,34,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/omw-electrics,myjobquote
Elec Services,,Electrician,,,4.9,28,,ID Checked,,,2008,https://www.myjobquote.co.uk/t/elec-services,myjobquote
Energy North Ltd,,Electrician,,,5,21,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/energy-north-ltd,myjobquote
EugEnergy,,Electrician,,,5,16,,ID Checked; Public Liability Insurance,,,2024,https://www.myjobquote.co.uk/t/eugenergy,myjobquote
UM ELECTRICAL LTD,,Electrician,,,5,13,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/um-electrical-ltd,myjobquote
Bello Electrics Ltd,,Electrician,,,5,8,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/bello-electrics-ltd,myjobquote
Stoyan,,Electrician,,,5,3,,ID Checked; Public Liability Insurance,,,2014,https://www.myjobquote.co.uk/t/stoyan-8,myjobquote
Jarvy the sparky,,Electrician,,,5,2,,ID Checked; Public Liability Insurance,,,2013,https://www.myjobquote.co.uk/t/jarvy-the-sparky,myjobquote
SparkPlugElectric Ltd,,Electrician,,,5,2,,ID Checked; Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/sparkplugelectric-ltd,myjobquote
Fiveways Electrical services,,Electrician,,,5,2,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/fiveways-electrical-services,myjobquote
electrician,,Electrician,,,5,1,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/electrician-82,myjobquote
Kim Electrical,,Electrician,,,5,76,,ID Checked; Public Liability Insurance,,,2000,https://www.myjobquote.co.uk/t/kim-electrical,myjobquote
Mohammed Afif,,Electrician,,,5,20,,ID Checked; Public Liability Insurance,,,2024,https://www.myjobquote.co.uk/t/mohammed-afif,myjobquote
A Class Electrical,,Electrician,,,5,10,07441448057,ID Checked; Public Liability Insurance,,,2004,https://www.myjobquote.co.uk/t/a-class-electrical-1,myjobquote
Abney Electrical Services & Property Maintenance,,Electrician,,,5,8,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/abney-electrical-services-property-maintenance,myjobquote
AFA Electric Ltd,,Electrician,,,5,7,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/afa-electric-ltd,myjobquote
Heniu Electrical,,Electrician,,,5,7,07441441875,ID Checked,,,2018,https://www.myjobquote.co.uk/t/heniu-electrical,myjobquote
box2light,,Electrician,,,5,5,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/box2light,myjobquote
Electrics 2U Ltd,,Electrician,,,5,3,,ID Checked; Public Liability Insurance,,,2003,https://www.myjobquote.co.uk/t/electrics-2u-ltd,myjobquote
RP Works LTD,,Electrician,,,5,3,,ID Checked; Public Liability Insurance,,,Sep 2025,https://www.myjobquote.co.uk/t/rp-works-ltd,myjobquote
Electrical services 365,,Electrician,,,5,2,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/electrical-services-365,myjobquote
Electrical Servis Caka,,Electrician,,,5,2,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/electrical-servis-caka,myjobquote
SparkyNscrews,,Electrician,,,5,1,,ID Checked; Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/sparkynscrews,myjobquote
Geo Electrics,,Electrician,,,5,1,,ID Checked; Public Liability Insurance,,,2023,https://www.myjobquote.co.uk/t/geo-electrics,myjobquote
Tudor Technical,,Electrician,,,5,30,,ID Checked; Public Liability Insurance,,,2010,https://www.myjobquote.co.uk/t/tudor-technical,myjobquote
Elvis&#039;s Electrical & Pest Control Services,,Electrician,,,5,28,,ID Checked,,,1998,https://www.myjobquote.co.uk/t/elviss-electrical-pest-control-services,myjobquote
Skytech Ahmed Limited,,Electrician,,,5,11,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/skytech-ahmed-limited,myjobquote
ASAP Electrics,,Electrician,,,5,7,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/asap-electrics,myjobquote
Adam O&#039;Connell,,Electrician,,,5,5,,ID Checked,,,Jul 2024,https://www.myjobquote.co.uk/t/adam-oconnell-1,myjobquote
Beach electrical Ltd,,Electrician,,,5,5,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/beach-electrical-ltd,myjobquote
Apollo,,Electrician,,,5,3,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/apollo-5,myjobquote
JPM Electrical,,Electrician,,,5,3,,ID Checked,,,Jan 2024,https://www.myjobquote.co.uk/t/jpm-electrical,myjobquote
LMG Electrical Contractors LTD,,Electrician,,,5,2,,ID Checked,,,Jun 2025,https://www.myjobquote.co.uk/t/lmg-electrical-contractors-ltd,myjobquote
A&N ELECTRIC LIMITED,,Electrician,,,5,1,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/an-electric-limited,myjobquote
Wiser Electrical Solutions,,Electrician,,,5,1,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/wiser-electrical-solutions,myjobquote
Greater London Electrical,,Electrician,,,5,1,,ID Checked,,,2012,https://www.myjobquote.co.uk/t/greater-london-electrical,myjobquote
Telenet Cloud Solution,,Electrician,,,5,33,,ID Checked; Public Liability Insurance,,,2010,https://www.myjobquote.co.uk/t/telenet-cloud-solution,myjobquote
PJ electricals services limited,,Electrician,,,5,11,,ID Checked,,,2002,https://www.myjobquote.co.uk/t/pj-electricals-services-limited,myjobquote
Quadrant Electrics Ltd,,Electrician,,,5,3,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/quadrant-electrics-ltd,myjobquote
N Simkus,,Electrician,,,5,2,,ID Checked,,,Sep 2025,https://www.myjobquote.co.uk/t/n-simkus,myjobquote
Malik Electric Co.,,Electrician,,,4.9,17,,ID Checked,,,,https://www.myjobquote.co.uk/t/malik-electric-co,myjobquote
the home doctor,,Electrician,,,5,2,,ID Checked,,,Nov 2025,https://www.myjobquote.co.uk/t/the-home-doctor,myjobquote
Erma Electrical Ltd,,Electrician,,,5,5,,ID Checked; Public Liability Insurance,,,Feb 2026,https://www.myjobquote.co.uk/t/erma-electrical-ltd,myjobquote
Robert,,Electrician,,,5,1,,ID Checked,,,Jul 2024,https://www.myjobquote.co.uk/t/robert-226,myjobquote
David Gibbs,,Electrician,,,5,2,,ID Checked,,,Sep 2025,https://www.myjobquote.co.uk/t/david-gibbs,myjobquote
Electrical and Av Services,,Electrician,,,5,1,,ID Checked,,,2012,https://www.myjobquote.co.uk/t/electrical-and-av-services,myjobquote
Jimgos,,Electrician,,,5,159,07441446263,ID Checked,,,1970,https://www.myjobquote.co.uk/t/jimgos,myjobquote
Grochowalski,,Electrician,,,4,9,,ID Checked,,,2007,https://www.myjobquote.co.uk/t/grochowalski,myjobquote
VASKONI LTD,,Electrician,,,5,14,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/vaskoni-ltd,myjobquote
F.H Electrical,,Electrician,,,5,1,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/fh-electrical,myjobquote
EfficientCoolingLondonLimited,,Electrician,,,5,1,07451260855,ID Checked; Public Liability Insurance,,,2024,https://www.myjobquote.co.uk/t/efficientcoolinglondonlimited,myjobquote
Nicolae,,Electrician,,,4,2,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/nicolae-46,myjobquote
LC ELECTRO,,Electrician,,,5,33,07441449715,ID Checked,,,2022,https://www.myjobquote.co.uk/t/lc-electro,myjobquote
FTG Exclusives Ltd.,,Electrician,,,5,6,,ID Checked; Public Liability Insurance,,,2024,https://www.myjobquote.co.uk/t/ftg-exclusives-ltd,myjobquote
Shield Electrical Limited,,Electrician,,,5,4,,ID Checked,,,Apr 2025,https://www.myjobquote.co.uk/t/shield-electrical-limited,myjobquote
Anif Bailey,,Electrician,,,5,15,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/anif-bailey,myjobquote
Fep service Ltd,,Electrician,,,5,4,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/fep-service-ltd,myjobquote
7 Bros,,Electrician,,,4,20,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/7-bros,myjobquote
Fairlight electrical,,Electrician,,,5,6,,ID Checked,,,Sep 2025,https://www.myjobquote.co.uk/t/fairlight-electrical,myjobquote
Chris Mulligan Electrical,,Electrician,,,5,31,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/chris-mulligan-electrical-1,myjobquote
Terra Electrical Ltd,,Electrician,,,5,1,07451260863,ID Checked,,,Aug 2025,https://www.myjobquote.co.uk/t/terra-electrical-ltd,myjobquote
MH Electrical,,Electrician,,,5,6,07418344497,ID Checked; Public Liability Insurance,,,2009,https://www.myjobquote.co.uk/t/mh-electrical-4,myjobquote
Henry Forbes Electrical,,Electrician,,,5,4,07418348105,ID Checked,,,2024,https://www.myjobquote.co.uk/t/henry-forbes-electrical,myjobquote
Victor Electrical and Security Systems,,Electrician,,,5,4,,ID Checked; Public Liability Insurance,,,2026,https://www.myjobquote.co.uk/t/victor-electrical-and-security-systems,myjobquote
D-Lines Electrics,,Electrician,,,5,7,,ID Checked; Public Liability Insurance,,,2012,https://www.myjobquote.co.uk/t/d-lines-electrics,myjobquote
Thomerson Electrical,,Electrician,,,5,1,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/thomerson-electrical,myjobquote
NBC Electrical Services,,Electrician,,,5,5,,ID Checked; Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/nbc-electrical-services,myjobquote
EJF-PERFORMANCE LTD,,Electrician,,,5,2,,ID Checked; Public Liability Insurance,,,2007,https://www.myjobquote.co.uk/t/ejf-performance-ltd,myjobquote
Panel electrical limited,,Electrician,,,5,2,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/panel-electrical-limited,myjobquote
Innerled lighting ltd,,Electrician,,,5,1,,Public Liability Insurance,,,2011,https://www.myjobquote.co.uk/t/innerled-lighting-ltd,myjobquote
Purelite Electrical Ltd,,Electrician,,,5,1,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/purelite-electrical-ltd-2,myjobquote
Ashwilliams,,Electrician,,,5,1,,ID Checked,,,May 2024,https://www.myjobquote.co.uk/t/ashwilliams,myjobquote
Green Power,,Electrician,,,5,1,,ID Checked,,,Dec 2024,https://www.myjobquote.co.uk/t/green-power,myjobquote
PMCR Services ltd,,Electrician,,,4.68,0,,ID Checked,,,Sep 2024,https://www.myjobquote.co.uk/t/pmcr-services-ltd,myjobquote
PMCR Services ltd,,Electrician,,,4.68,0,,ID Checked,,,Jul 2023,https://www.myjobquote.co.uk/t/bb-engineering-works,myjobquote
BB Engineering Works,,Electrician,,,4.68,0,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/joey-sparky,myjobquote
LTM Electrical Services,,Electrician,,,4.68,0,,ID Checked,,,Dec 2023,https://www.myjobquote.co.uk/t/ltm-electrical-services,myjobquote
Taylor Bye,,Electrician,,,4.9,90,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/taylor-bye-1,myjobquote
Electric Safe Ltd,,Electrician,,,5,22,,ID Checked; Public Liability Insurance,,,2024,https://www.myjobquote.co.uk/t/electric-safe-ltd,myjobquote
JSR Electrical Solutions,,Electrician,,,5,28,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/jsr-electrical-solutions,myjobquote
Maiutz&Galiutz LTD,,Electrician,,,5,1,,ID Checked,,,2007,https://www.myjobquote.co.uk/t/maiutzgaliutz-ltd,myjobquote
BW electrical services,,Electrician,,,5,2,07418372826,ID Checked; Public Liability Insurance,,,2017,https://www.myjobquote.co.uk/t/bw-electrical-services-1,myjobquote
LM Electrics Islington Ltd,,Electrician,,,5,2,,ID Checked; Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/lm-electrics-islington-ltd,myjobquote
Shorts Electrical Services,,Electrician,,,5,10,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/shorts-electrical-services,myjobquote
