company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Clark Gas Services,,Gas Ovens Hob,,,4.9,36,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/clark-gas-services,myjobquote
Ayoubi&#039;s Dream Bathroom,,Gas Ovens Hob,,,5,17,,ID Checked,,,2000,https://www.myjobquote.co.uk/t/ayoubis-dream-bathroom,myjobquote
Austin Ehibochie,,Gas Ovens Hob,,,5,6,,ID Checked,,,May 2024,https://www.myjobquote.co.uk/t/austin-ehibochie,myjobquote
inFinnerty Gas Limited,,Gas Ovens Hob,,,5,6,,ID Checked; Public Liability Insurance,,,2026,https://www.myjobquote.co.uk/t/infinnerty-gas-limited,myjobquote
Platinum Gas Solutions Ltd,,Gas Ovens Hob,,,5,2,,ID Checked; Public Liability Insurance,,,Jan 2026,https://www.myjobquote.co.uk/t/platinum-gas-solutions-ltd,myjobquote
Gas Heat Flow,,Gas Ovens Hob,,,5,122,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/gas-heat-flow,myjobquote
AC Heating services,,Gas Ovens Hob,,,5,67,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/ac-heating-services,myjobquote
RekaPlumbing,,Gas Ovens Hob,,,5,40,,ID Checked; Public Liability Insurance,,,2009,https://www.myjobquote.co.uk/t/rekaplumbing,myjobquote
Saulius Raudys,,Gas Ovens Hob,,,4,2,,ID Checked; Public Liability Insurance,,,2010,https://www.myjobquote.co.uk/t/saulius-raudys,myjobquote
Princefix Solutions LTD,,Gas Ovens Hob,,,5,38,,ID Checked; Public Liability Insurance,,,2024,https://www.myjobquote.co.uk/t/princefix-solutions-ltd,myjobquote
Morfleet Construction & Heating Ltd,,Gas Ovens Hob,,,5,33,07418319696,ID Checked,,,2002,https://www.myjobquote.co.uk/t/morfleet-construction-heating-ltd,myjobquote
"JS Plumbing, Heating and Gas Services",,Gas Ovens Hob,,,4,7,,ID Checked,,,1900,https://www.myjobquote.co.uk/t/js-plumbing-heating-and-gas-services,myjobquote
Gas Tech Plumbing Ltd,,Gas Ovens Hob,,,5,2,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/gas-tech-plumbing-ltd,myjobquote
BB Brick & Beam Construction Ltd,,Gas Ovens Hob,,,5,43,,ID Checked; Public Liability Insurance,,,2012,https://www.myjobquote.co.uk/t/bb-brick-beam-construction-ltd,myjobquote
Silver Cloud Services,,Gas Ovens Hob,,,5,28,07418365726,ID Checked; Public Liability Insurance,,,2013,https://www.myjobquote.co.uk/t/silver-cloud-services,myjobquote
DnT Heating Solutions Ltd,,Gas Ovens Hob,,,5,10,07418371493,ID Checked; Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/dnt-heating-solutions-ltd,myjobquote
Steady Flow Plumbing & Heating Ltd,,Gas Ovens Hob,,,5,3,,ID Checked; Public Liability Insurance,,,2012,https://www.myjobquote.co.uk/t/steady-flow-plumbing-heating-ltd,myjobquote
PT Plumbing & Gas,,Gas Ovens Hob,,,5,161,,ID Checked,,,2012,https://www.myjobquote.co.uk/t/pt-plumbing-gas,myjobquote
NW Services,,Gas Ovens Hob,,,5,11,,ID Checked,,,Jul 2020,https://www.myjobquote.co.uk/t/nw-services,myjobquote
