company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Ioan Borzos,,Hard Landscaping,,,4.8,75,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/ioan-borzos,myjobquote
OGD Gardening,,Hard Landscaping,,,5,10,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/ogd-gardening,myjobquote
Benjamin Landscapes,,Hard Landscaping,,,5,9,,ID Checked,,,Nov 2022,https://www.myjobquote.co.uk/t/benjamin-landscapes,myjobquote
W A Services,,Hard Landscaping,,,5,6,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/w-a-services,myjobquote
Buffalo Gardening,,Hard Landscaping,,,5,5,,ID Checked,,,Feb 2026,https://www.myjobquote.co.uk/t/buffalo-gardening,myjobquote
Ednimi Limited,,Hard Landscaping,,,5,4,,ID Checked; Public Liability Insurance,,,2021,https://www.myjobquote.co.uk/t/ednimi-limited,myjobquote
DD Building Services,,Hard Landscaping,,,5,2,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/dd-building-services-2,myjobquote
TeamFix Handyman service,,Hard Landscaping,,,5,1,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/teamfix-handyman-service,myjobquote
Noka Landscaping & Driveways Services,,Hard Landscaping,,,4,1,07451260815,ID Checked,,,2019,https://www.myjobquote.co.uk/t/noka-landscaping-driveways-services,myjobquote
Brownes Property Improvements,,Hard Landscaping,,,5,1,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/brownes-property-improvements,myjobquote
Peakview Lawn & Landscape,,Hard Landscaping,,,5,27,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/peakview-lawn-landscape,myjobquote
2020 fencing and landscapes,,Hard Landscaping,,,5,8,,ID Checked,,,Sep 2024,https://www.myjobquote.co.uk/t/2020-fencing-and-landscapes,myjobquote
Bespoke Landscaping Garden Services Ltd,,Hard Landscaping,,,5,6,,ID Checked,,,2009,https://www.myjobquote.co.uk/t/bespoke-landscaping-garden-services-ltd,myjobquote
WP Landscapes,,Hard Landscaping,,,4,3,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/wp-landscapes-2,myjobquote
Thegardenwow Limited,,Hard Landscaping,,,5,3,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/thegardenwow-limited,myjobquote
Stefan Construct Gardens,,Hard Landscaping,,,4,70,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/stefan-construct-gardens,myjobquote
Jrlandsons ltd,,Hard Landscaping,,,5,3,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/jrlandsons-ltd,myjobquote
Ovidiu Borzos,,Hard Landscaping,,,5,64,07418347483,ID Checked,,,1900,https://www.myjobquote.co.uk/t/ovidiu-borzos,myjobquote
UTOS Group Limited,,Hard Landscaping,,,5,22,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/utos-group-limited,myjobquote
CJB Property Maintenance,,Hard Landscaping,,,4,10,,ID Checked,,,2000,https://www.myjobquote.co.uk/t/cjb-property-maintenance,myjobquote
