company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Jm building service,,Kitchen Fitter,,,5,1,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/jm-building-service-1,myjobquote
KB Marble,,Kitchen Fitter,,,5,8,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/kb-marble,myjobquote
ServicesbyE - Emil Georgiev,,Kitchen Fitter,,,5,5,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/servicesbye-emil-georgiev,myjobquote
Jimgos,,Kitchen Fitter,,,5,159,07441446263,ID Checked,,,1970,https://www.myjobquote.co.uk/t/jimgos,myjobquote
PlatinumCare Property Services,,Kitchen Fitter,,,5,9,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/platinumcare-property-services,myjobquote
Plumbing HQ,,Kitchen Fitter,,,5,4,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/plumbing-hq,myjobquote
SRK construction London ltd,,Kitchen Fitter,,,5,1,,ID Checked; Public Liability Insurance,,,Aug 2025,https://www.myjobquote.co.uk/t/srk-construction-london-ltd,myjobquote
George,,Kitchen Fitter,,,4,21,07418363365,ID Checked,,,2021,https://www.myjobquote.co.uk/t/george-32,myjobquote
Will Flow - Plumbing & Heating,,Kitchen Fitter,,,5,11,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/will-flow-plumbing-heating,myjobquote
JT Kitchen Installation,,Kitchen Fitter,,,5,7,,ID Checked; Public Liability Insurance,,,2016,https://www.myjobquote.co.uk/t/jt-kitchen-installation,myjobquote
Aurelijus Kovaliovas&#039;s Carpenter & Joinery Services,,Kitchen Fitter,,,5,1,,ID Checked,,,2002,https://www.myjobquote.co.uk/t/aurelijus-kovaliovass-carpenter-joinery-services,myjobquote
A&D Construction Works Ltd,,Kitchen Fitter,,,5,4,,ID Checked,,,2013,https://www.myjobquote.co.uk/t/ad-construction-works-ltd,myjobquote
BB Brick & Beam Construction Ltd,,Kitchen Fitter,,,5,43,,ID Checked; Public Liability Insurance,,,2012,https://www.myjobquote.co.uk/t/bb-brick-beam-construction-ltd,myjobquote
Tudor Technical,,Kitchen Fitter,,,5,30,,ID Checked; Public Liability Insurance,,,2010,https://www.myjobquote.co.uk/t/tudor-technical,myjobquote
Joiner Xpert,,Kitchen Fitter,,,5,2,,ID Checked,,,2000,https://www.myjobquote.co.uk/t/joiner-xpert,myjobquote
PM Contractors ltd,,Kitchen Fitter,,,5,22,,ID Checked,,,2003,https://www.myjobquote.co.uk/t/pm-contractors-ltd,myjobquote
Refurb and Maintenance,,Kitchen Fitter,,,5,17,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/refurb-and-maintenance,myjobquote
7 Bros,,Kitchen Fitter,,,5,20,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/7-bros,myjobquote
Katkim,,Kitchen Fitter,,,5,8,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/katkim,myjobquote
Laki@insan,,Kitchen Fitter,,,5,3,,ID Checked,,,2026,https://www.myjobquote.co.uk/t/laki-at-insan,myjobquote
London tiles station,,Kitchen Fitter,,,4.68,0,,,,,May 2023,https://www.myjobquote.co.uk/t/london-tiles-station,myjobquote
London tiles station,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/aldrebeconstruction,myjobquote
Daniel James,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2003,https://www.myjobquote.co.uk/t/daniel-james-1,myjobquote
Rus Aurel,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/rus-aurel,myjobquote
JR.Ltd,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/jrltd,myjobquote
Suman,,Kitchen Fitter,,,4.68,0,,,,,Jan 2020,https://www.myjobquote.co.uk/t/suman-3,myjobquote
Suman,,Kitchen Fitter,,,4.68,0,,,,,Mar 2024,https://www.myjobquote.co.uk/t/find-easy-4k,myjobquote
Ellis PB Services,,Kitchen Fitter,,,4.68,0,,Public Liability Insurance,,,Dec 2025,https://www.myjobquote.co.uk/t/ellis-pb-services,myjobquote
Jb carpentry,,Kitchen Fitter,,,4.68,0,,,,,Jun 2025,https://www.myjobquote.co.uk/t/jb-carpentry-9,myjobquote
Jb carpentry,,Kitchen Fitter,,,4.68,0,,ID Checked,,,May 2024,https://www.myjobquote.co.uk/t/new-look-building-group-limited,myjobquote
AMJ Building Artisan LTD,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/amj-building-artisan-ltd,myjobquote
Victor,,Kitchen Fitter,,,4.68,0,,ID Checked,,,Mar 2026,https://www.myjobquote.co.uk/t/victor-18,myjobquote
Victor,,Kitchen Fitter,,,4.68,0,,ID Checked,,,Sep 2022,https://www.myjobquote.co.uk/t/professional-chef,myjobquote
Professional Chef,,Kitchen Fitter,,,4.68,0,,,,,Dec 2025,https://www.myjobquote.co.uk/t/cleaning-298,myjobquote
Cleaning,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2005,https://www.myjobquote.co.uk/t/rafsbuildingservice,myjobquote
Genus solutions,,Kitchen Fitter,,,4.68,0,,ID Checked,,,Jan 2023,https://www.myjobquote.co.uk/t/genus-solutions,myjobquote
EUROSTAR BUILD LIMITED,,Kitchen Fitter,,,4.68,0,,ID Checked,,,in 2015,https://www.myjobquote.co.uk/t/eurostar-build-limited,myjobquote
ES construction,,Kitchen Fitter,,,4.68,0,,ID Checked,,,Jan 2026,https://www.myjobquote.co.uk/t/es-construction,myjobquote
ES construction,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2007,https://www.myjobquote.co.uk/t/f-martini-buildingroofing,myjobquote
Saqi carpenter,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/saqi-carpenter,myjobquote
Virpal,,Kitchen Fitter,,,4.68,0,,,,,Sep 2023,https://www.myjobquote.co.uk/t/virpal,myjobquote
Virpal,,Kitchen Fitter,,,4.68,0,,ID Checked,,,Sep 2023,https://www.myjobquote.co.uk/t/anytimesolutions,myjobquote
LIGHT BRIDGE,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/light-bridge,myjobquote
SUMMA INVEST,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/summa-invest,myjobquote
SUMMA INVEST,,Kitchen Fitter,,,4.68,0,,ID Checked,,,Feb 2025,https://www.myjobquote.co.uk/t/build-n-brush-ltd,myjobquote
Build N Brush LTD,,Kitchen Fitter,,,4.68,0,,ID Checked,,,Oct 2025,https://www.myjobquote.co.uk/t/lucas-72,myjobquote
Lucas,,Kitchen Fitter,,,4.68,0,,ID Checked,,,2007,https://www.myjobquote.co.uk/t/sameh,myjobquote
No name,,Kitchen Fitter,,,4.68,0,,ID Checked,,,Feb 2026,https://www.myjobquote.co.uk/t/no-name-100,myjobquote
No name,,Kitchen Fitter,,,4.68,0,,,,,Apr 2024,https://www.myjobquote.co.uk/t/dimitar-dimitrov-2,myjobquote
