company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Harrow Plumbing & Harrow Homes maintenance,,Painter Decorator,,,4.8,41,,ID Checked,,,1970,https://www.myjobquote.co.uk/t/harrow-plumbing-harrow-homes-maintenance,myjobquote
Iulian,,Painter Decorator,,,5,33,,ID Checked,,,2007,https://www.myjobquote.co.uk/t/iulian-11,myjobquote
Blue rose developments ltd,,Painter Decorator,,,5,30,,ID Checked; Public Liability Insurance,,,2023,https://www.myjobquote.co.uk/t/blue-rose-developments-ltd-1,myjobquote
Marry Sunshining Ltd,,Painter Decorator,,,5,25,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/marry-sunshining-ltd,myjobquote
AA PAINTING AND  PLUMBING MAINTENANCE SERVICE,,Painter Decorator,,,5,25,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/aa-painting-and-plumbing-maintenance-service,myjobquote
Painter Decorator Services,,Painter Decorator,,,4,23,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/painter-decorator-services-1,myjobquote
HeArtHouse,,Painter Decorator,,,5,22,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/hearthouse,myjobquote
Final Finish,,Painter Decorator,,,5,18,,ID Checked; Public Liability Insurance,,,2016,https://www.myjobquote.co.uk/t/final-finish-1,myjobquote
Valentin Painting & Decorating,,Painter Decorator,,,5,17,07418360145,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/valentin-painting-decorating-1,myjobquote
Joe The Painter,,Painter Decorator,,,5,17,,ID Checked,,,1981,https://www.myjobquote.co.uk/t/joe-the-painter-1,myjobquote
Winston,,Painter Decorator,,,5,13,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/winston-3,myjobquote
Thusi painting,,Painter Decorator,,,4,9,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/thusi-painting,myjobquote
Alket’s Colour Drops,,Painter Decorator,,,5,8,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/alkets-colour-drops,myjobquote
Future Express,,Painter Decorator,,,5,6,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/future-express,myjobquote
Apex Decorating,,Painter Decorator,,,5,6,,ID Checked,,,1988,https://www.myjobquote.co.uk/t/apex-decorating-1,myjobquote
