company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
J K Love property maintenance,,Plumber,,,4.8,88,,ID Checked; Public Liability Insurance,,,2023,https://www.myjobquote.co.uk/t/j-k-love-property-maintenance,myjobquote
KP Plumbing,,Plumber,,,5,82,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/kp-plumbing,myjobquote
Super Plumb Ltd,,Plumber,,,5,81,07418318018,ID Checked,,,2017,https://www.myjobquote.co.uk/t/super-plumb-ltd,myjobquote
Fully Active Building Services Limited,,Plumber,,,5,62,,ID Checked,,,Oct 2024,https://www.myjobquote.co.uk/t/fully-active-building-services-limited,myjobquote
JP Plumbing &amp; Construction Limited,,Plumber,,,5,44,07418317515,ID Checked,,,2003,https://www.myjobquote.co.uk/t/jp-plumbing-construction-limited,myjobquote
Dooley Heating Plumbing Gas,,Plumber,,,5,39,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/dooley-heating-plumbing-gas,myjobquote
JD Plumber Services,,Plumber,,,5,33,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/jd-plumber-services,myjobquote
Yzplumbingandheating,,Plumber,,,5,24,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/yzplumbingandheating,myjobquote
George,,Plumber,,,5,21,07418363365,ID Checked,,,2021,https://www.myjobquote.co.uk/t/george-32,myjobquote
Erou Tiling Limited,,Plumber,,,5,19,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/erou-tiling-limited,myjobquote
OXD Design&amp;Build Studio Ltd,,Plumber,,,5,19,,ID Checked,,,2026,https://www.myjobquote.co.uk/t/oxd-designbuild-studio-ltd,myjobquote
We fix houses ltd,,Plumber,,,4,19,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/we-fix-houses-ltd,myjobquote
B.Mark Plumbing,,Plumber,,,5,19,,ID Checked,,,1988,https://www.myjobquote.co.uk/t/bmark-plumbing,myjobquote
Aurelian,,Plumber,,,5,15,,ID Checked,,,2007,https://www.myjobquote.co.uk/t/aurelian-2,myjobquote
Eddy s,,Plumber,,,5,14,07418347672,ID Checked,,,2013,https://www.myjobquote.co.uk/t/eddy-s,myjobquote
Aaron,,Plumber,,,5,13,,ID Checked; Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/aaron-125,myjobquote
PD PlumbinG.,,Plumber,,,5,11,,ID Checked; Public Liability Insurance,,,2023,https://www.myjobquote.co.uk/t/pd-plumbing,myjobquote
Elite Plan Builders,,Plumber,,,5,11,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/elite-plan-builders,myjobquote
Proximus Plumbing and Heating LTD,,Plumber,,,5,10,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/proximus-plumbing-and-heating-ltd,myjobquote
Eclipse Heating Ltd,,Plumber,,,5,9,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/eclipse-heating-ltd,myjobquote
AR Excel Heating Solutions,,Plumber,,,5,1,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/ar-excel-heating-solutions,myjobquote
Betteridge Bathroom Designs,,Plumber,,,5,1,,ID Checked,,,Jan 2026,https://www.myjobquote.co.uk/t/betteridge-bathroom-designs,myjobquote
Repair - Assemble Plumbing and Heating,,Plumber,,,5,36,,ID Checked,,,2009,https://www.myjobquote.co.uk/t/repair-assemble-plumbing-and-heating,myjobquote
Bushi Plumbing &amp; Gas LTD,,Plumber,,,4,16,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/bushi-plumbing-gas-ltd,myjobquote
Pressure Point P&amp;H,,Plumber,,,5,14,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/pressure-point-ph,myjobquote
PPE PLUMBING,,Plumber,,,4,12,,ID Checked; Public Liability Insurance,,,Mar 2023,https://www.myjobquote.co.uk/t/ppe-plumbing,myjobquote
Will Flow - Plumbing &amp; Heating,,Plumber,,,5,11,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/will-flow-plumbing-heating,myjobquote
