company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
JMac Builders,,Wooden Doors,,,4.8,85,,ID Checked,,,2002,https://www.myjobquote.co.uk/t/jmac-builders,myjobquote
Velchev89 construction LTD,,Wooden Doors,,,5,24,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/velchev89-construction-ltd,myjobquote
Murtadah,,Wooden Doors,,,5,23,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/murtadah,myjobquote
VDB Wood Work & Maintenance,,Wooden Doors,,,5,19,,ID Checked; Public Liability Insurance,,,2016,https://www.myjobquote.co.uk/t/vdb-wood-work-maintenance,myjobquote
Vlad Bargau,,Wooden Doors,,,5,3,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/vlad-bargau,myjobquote
K & Son Property Solutions,,Wooden Doors,,,5,3,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/k-son-property-solutions,myjobquote
Jake Mitchell Carpentry & Joinery,,Wooden Doors,,,5,1,,ID Checked; Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/jake-mitchell-carpentry-joinery,myjobquote
Don’t have a business name,,Wooden Doors,,,5,16,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/dont-have-a-business-name-6,myjobquote
Mark Atkins Carpentry,,Wooden Doors,,,5,14,,ID Checked,,,2013,https://www.myjobquote.co.uk/t/mark-atkins-carpentry,myjobquote
Joni Cota,,Wooden Doors,,,5,4,07418340229,ID Checked,,,Jul 2023,https://www.myjobquote.co.uk/t/joni-cota,myjobquote
Carpenter Son Ltd,,Wooden Doors,,,5,17,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/carpenter-son-ltd,myjobquote
RB carpentry,,Wooden Doors,,,5,1,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/rb-carpentry-6,myjobquote
Woodworking,,Wooden Doors,,,5,1,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/woodworking-1,myjobquote
JAA Construction,,Wooden Doors,,,5,9,,ID Checked,,,1975,https://www.myjobquote.co.uk/t/jaa-construction,myjobquote
North west property,,Wooden Doors,,,4,2,,ID Checked,,,Aug 2021,https://www.myjobquote.co.uk/t/north-west-property,myjobquote
Empire interiors,,Wooden Doors,,,5,2,,ID Checked,,,Oct 2024,https://www.myjobquote.co.uk/t/empire-interiors,myjobquote
G W Carpentry And Handyman Services,,Wooden Doors,,,4,3,,ID Checked,,,Nov 2024,https://www.myjobquote.co.uk/t/g-w-carpentry-and-handyman-services,myjobquote
PM Contractors ltd,,Wooden Doors,,,5,22,,ID Checked,,,2003,https://www.myjobquote.co.uk/t/pm-contractors-ltd,myjobquote
