company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Don’t have a business name,,Wooden Staircases,,,4.8,16,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/dont-have-a-business-name-6,myjobquote
MDF Interior,,Wooden Staircases,,,5,3,,ID Checked,,,Nov 2025,https://www.myjobquote.co.uk/t/mdf-interior,myjobquote
Velchev89 construction LTD,,Wooden Staircases,,,5,24,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/velchev89-construction-ltd,myjobquote
2Stay Construction,,Wooden Staircases,,,5,14,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/2stay-construction,myjobquote
NJP Installations,,Wooden Staircases,,,5,13,,ID Checked,,,1995,https://www.myjobquote.co.uk/t/njp-installations,myjobquote
Albion Building Services,,Wooden Staircases,,,5,3,,ID Checked,,,1991,https://www.myjobquote.co.uk/t/albion-building-services,myjobquote
K & Son Property Solutions,,Wooden Staircases,,,5,3,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/k-son-property-solutions,myjobquote
Vlad Bargau,,Wooden Staircases,,,5,3,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/vlad-bargau,myjobquote
Jake Mitchell Carpentry & Joinery,,Wooden Staircases,,,5,1,,ID Checked; Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/jake-mitchell-carpentry-joinery,myjobquote
Mark Atkins Carpentry,,Wooden Staircases,,,5,14,,ID Checked,,,2013,https://www.myjobquote.co.uk/t/mark-atkins-carpentry,myjobquote
Joni Cota,,Wooden Staircases,,,5,4,07418340229,ID Checked,,,Jul 2023,https://www.myjobquote.co.uk/t/joni-cota,myjobquote
Morgan&#039;s Maintenance,,Wooden Staircases,,,5,3,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/morgans-maintenance-1,myjobquote
NMW Carpentry & Building Ltd,,Wooden Staircases,,,5,1,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/nmw-carpentry-building-ltd,myjobquote
Truecraft building and carpentry,,Wooden Staircases,,,5,1,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/truecraft-building-and-carpentry,myjobquote
Carpenter Son Ltd,,Wooden Staircases,,,5,17,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/carpenter-son-ltd,myjobquote
Aurelijus Kovaliovas&#039;s Carpenter & Joinery Services,,Wooden Staircases,,,5,1,,ID Checked,,,2002,https://www.myjobquote.co.uk/t/aurelijus-kovaliovass-carpenter-joinery-services,myjobquote
Woodworking,,Wooden Staircases,,,5,1,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/woodworking-1,myjobquote
RB carpentry,,Wooden Staircases,,,5,1,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/rb-carpentry-6,myjobquote
Steven Pollock,,Wooden Staircases,,,5,22,,ID Checked,,,2008,https://www.myjobquote.co.uk/t/steven-pollock,myjobquote
JAA Construction,,Wooden Staircases,,,5,9,,ID Checked,,,1975,https://www.myjobquote.co.uk/t/jaa-construction,myjobquote
WALMAR maintanance services,,Wooden Staircases,,,5,1,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/walmar-maintanance-services,myjobquote
Mgl sash windows and doors ltd,,Wooden Staircases,,,5,1,,ID Checked,,,Jan 2026,https://www.myjobquote.co.uk/t/mgl-sash-windows-and-doors-ltd,myjobquote
Anadimukt construction,,Wooden Staircases,,,5,6,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/anadimukt-construction,myjobquote
James Trim,,Wooden Staircases,,,5,1,,ID Checked; Public Liability Insurance,,,1996,https://www.myjobquote.co.uk/t/james-trim,myjobquote
AE maintenance - improvement,,Wooden Staircases,,,5,1,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/ae-maintenance-improvement-1,myjobquote
MSG Design Ltd,,Wooden Staircases,,,4,26,07418374742,ID Checked,,,2018,https://www.myjobquote.co.uk/t/msg-design-ltd,myjobquote
Jrlandsons ltd,,Wooden Staircases,,,5,3,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/jrlandsons-ltd,myjobquote
Fully Active Building Services Limited,,Wooden Staircases,,,5,63,,ID Checked,,,Apr 2025,https://www.myjobquote.co.uk/t/fully-active-building-services-limited,myjobquote
Building Blueprints,,Wooden Staircases,,,5,2,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/building-blueprints,myjobquote
DN dryliners ltd,,Wooden Staircases,,,5,1,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/dn-dryliners-ltd,myjobquote
Intra design and build,,Wooden Staircases,,,5,1,,ID Checked,,,2012,https://www.myjobquote.co.uk/t/intra-design-and-build,myjobquote
H G Witcher Carpentry,,Wooden Staircases,,,5,1,,ID Checked,,,Dec 2025,https://www.myjobquote.co.uk/t/h-g-witcher-carpentry,myjobquote
BE4 construction ltd,,Wooden Staircases,,,5,6,,ID Checked; Public Liability Insurance,,,Apr 2025,https://www.myjobquote.co.uk/t/be4-construction-ltd,myjobquote
