company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Ioan Borzos,,Gardener,,,4.8,75,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/ioan-borzos,myjobquote
MG Gardening & Landscaping,,Gardener,,,5,40,07451286745,ID Checked,,,2015,https://www.myjobquote.co.uk/t/mg-gardening-landscaping,myjobquote
ManjLandscapes Ltd,,Gardener,,,5,22,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/manjlandscapes-ltd,myjobquote
The Turf Laying Experts,,Gardener,,,4,14,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/the-turf-laying-experts,myjobquote
OGD Gardening,,Gardener,,,5,10,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/ogd-gardening,myjobquote
Ed & Bela Garden Services,,Gardener,,,5,10,,ID Checked,,,Nov 2022,https://www.myjobquote.co.uk/t/ed-bela-garden-services,myjobquote
Benjamin Landscapes,,Gardener,,,5,9,,ID Checked,,,Apr 2025,https://www.myjobquote.co.uk/t/benjamin-landscapes,myjobquote
W A Services,,Gardener,,,5,6,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/w-a-services,myjobquote
Buffalo Gardening,,Gardener,,,5,5,,ID Checked,,,Feb 2026,https://www.myjobquote.co.uk/t/buffalo-gardening,myjobquote
Sauleskians tree services and landscapes,,Gardener,,,5,5,07418317206,ID Checked,,,2001,https://www.myjobquote.co.uk/t/sauleskians-tree-services-and-landscapes,myjobquote
Ednimi Limited,,Gardener,,,5,2,,ID Checked; Public Liability Insurance,,,2021,https://www.myjobquote.co.uk/t/ednimi-limited,myjobquote
DD Building Services,,Gardener,,,5,2,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/dd-building-services-2,myjobquote
TeamFix Handyman service,,Gardener,,,5,1,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/teamfix-handyman-service,myjobquote
Noka Landscaping & Driveways Services,,Gardener,,,4,1,07451260815,ID Checked,,,2019,https://www.myjobquote.co.uk/t/noka-landscaping-driveways-services,myjobquote
Brownes Property Improvements,,Gardener,,,5,1,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/brownes-property-improvements,myjobquote
Evergreen,,Gardener,,,5,1,,ID Checked,,,2000,https://www.myjobquote.co.uk/t/evergreen-17,myjobquote
Peakview Lawn & Landscape,,Gardener,,,5,27,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/peakview-lawn-landscape,myjobquote
2020 fencing and landscapes,,Gardener,,,5,8,,ID Checked,,,Sep 2024,https://www.myjobquote.co.uk/t/2020-fencing-and-landscapes,myjobquote
Bespoke Landscaping Garden Services Ltd,,Gardener,,,5,6,,ID Checked,,,2009,https://www.myjobquote.co.uk/t/bespoke-landscaping-garden-services-ltd,myjobquote
WP Landscapes,,Gardener,,,4,3,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/wp-landscapes-2,myjobquote
Arts & Graft,,Gardener,,,5,6,,ID Checked; Public Liability Insurance,,,2010,https://www.myjobquote.co.uk/t/arts-graft,myjobquote
C Squared Gardening Services,,Gardener,,,5,1,,Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/c-squared-gardening-services,myjobquote
GATT&SON’S scrap and rubbish clearance,,Gardener,,,5,1,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/gattsons-scrap-and-rubbish-clearance,myjobquote
J Hanrahan Services,,Gardener,,,5,1,,ID Checked,,,Sep 2025,https://www.myjobquote.co.uk/t/j-hanrahan-services,myjobquote
johnhume,,Gardener,,,5,1,,ID Checked,,,1985,https://www.myjobquote.co.uk/t/johnhume,myjobquote
Jozsef Gomboci,,Gardener,,,5,1,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/jozsef-gomboci-1,myjobquote
Cooper Fencing Limited,,Gardener,,,5,1,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/cooper-fencing-limited,myjobquote
Darius driveway,,Gardener,,,5,1,,ID Checked,,,Oct 2024,https://www.myjobquote.co.uk/t/darius-driveway,myjobquote
Bright Day Services,,Gardener,,,5,33,07441473219,ID Checked,,,2015,https://www.myjobquote.co.uk/t/bright-day-services,myjobquote
CL Williams Landscaping,,Gardener,,,5,19,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/cl-williams-landscaping,myjobquote
Town and District Landscapes,,Gardener,,,5,19,,ID Checked,,,1986,https://www.myjobquote.co.uk/t/town-and-district-landscapes,myjobquote
Declutter Sevices,,Gardener,,,5,15,,ID Checked; Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/declutter-sevices,myjobquote
Regency Quality Building Services /Handyperson Services,,Gardener,,,5,8,,ID Checked,,,1990,https://www.myjobquote.co.uk/t/regency-quality-building-services-handyperson-services,myjobquote
Shedly,,Gardener,,,5,6,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/shedly,myjobquote
Access Trees,,Gardener,,,5,5,,ID Checked,,,1998,https://www.myjobquote.co.uk/t/access-trees,myjobquote
Greenscapes Gardens Ltd,,Gardener,,,5,4,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/greenscapes-gardens-ltd,myjobquote
CS Trees,,Gardener,,,5,4,07418317461,ID Checked,,,2019,https://www.myjobquote.co.uk/t/cs-trees,myjobquote
JQMD LTD,,Gardener,,,5,3,,ID Checked; Public Liability Insurance,,,Jan 2026,https://www.myjobquote.co.uk/t/jqmd-ltd,myjobquote
Tobias jessup,,Gardener,,,5,1,,ID Checked,,,Aug 2025,https://www.myjobquote.co.uk/t/tobias-jessup,myjobquote
Jones handy service&#039;s,,Gardener,,,5,1,,ID Checked,,,Feb 2025,https://www.myjobquote.co.uk/t/jones-handy-services,myjobquote
