company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Regent roofing services Limited,,Guttering,,,4.6,35,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/regent-roofing-services-limited,myjobquote
Marius,,Guttering,,,5,13,,ID Checked,,,2005,https://www.myjobquote.co.uk/t/marius-9,myjobquote
London Town Roofing,,Guttering,,,5,8,,ID Checked,,,1987,https://www.myjobquote.co.uk/t/london-town-roofing,myjobquote
Executive roofing and building services,,Guttering,,,5,7,,ID Checked,,,Feb 2024,https://www.myjobquote.co.uk/t/executive-roofing-and-building-services,myjobquote
to repair and installation,,Guttering,,,5,6,07418367597,ID Checked,,,2025,https://www.myjobquote.co.uk/t/to-repair-and-installation,myjobquote
Goldstar roofing uk Ltd,,Guttering,,,4,3,,ID Checked,,,1987,https://www.myjobquote.co.uk/t/goldstar-roofing-uk-ltd,myjobquote
Nuaj construction,,Guttering,,,5,38,07418341696,ID Checked,,,2022,https://www.myjobquote.co.uk/t/nuaj-construction,myjobquote
Berkeley Roofing and Building,,Guttering,,,5,8,,ID Checked,,,2000,https://www.myjobquote.co.uk/t/berkeley-roofing-and-building-1,myjobquote
DC Roofing and Property Maintenance,,Guttering,,,5,2,,ID Checked,,,Feb 2025,https://www.myjobquote.co.uk/t/dc-roofing-and-property-maintenance-2,myjobquote
London Architectural roofing ltd,,Guttering,,,5,84,,ID Checked; Public Liability Insurance,,,2004,https://www.myjobquote.co.uk/t/london-architectural-roofing-ltd,myjobquote
Havering Roofing and Building Ltd,,Guttering,,,5,44,,ID Checked; Public Liability Insurance,,,2019,https://www.myjobquote.co.uk/t/havering-roofing-and-building-ltd,myjobquote
Truetop Roofing Ltd,,Guttering,,,5,8,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/truetop-roofing-ltd,myjobquote
Roof surge group Ltd,,Guttering,,,4,1,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/roof-surge-group-ltd,myjobquote
Bright Day Services,,Guttering,,,5,33,07441473219,ID Checked,,,2015,https://www.myjobquote.co.uk/t/bright-day-services,myjobquote
Homebase roofing Ltd,,Guttering,,,5,23,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/homebase-roofing-ltd,myjobquote
Roofco home improvements,,Guttering,,,5,9,,ID Checked; Public Liability Insurance,,,1985,https://www.myjobquote.co.uk/t/roofco-home-improvements,myjobquote
Roofing solutions,,Guttering,,,5,4,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/roofing-solutions-8,myjobquote
North London roofing,,Guttering,,,5,3,07418373788,ID Checked,,,1997,https://www.myjobquote.co.uk/t/north-london-roofing,myjobquote
Titan roofing,,Guttering,,,5,2,,ID Checked; Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/titan-roofing-5,myjobquote
BROMLEY ROOFER LTD,,Guttering,,,5,2,07418360547,ID Checked,,,Oct 2022,https://www.myjobquote.co.uk/t/bromley-roofer-ltd,myjobquote
Smart clean,,Guttering,,,4.9,8,07451260890,ID Checked,,,2015,https://www.myjobquote.co.uk/t/smart-clean,myjobquote
MBs building services,,Guttering,,,4,4,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/mbs-building-services,myjobquote
Hindle roofing,,Guttering,,,5,3,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/hindle-roofing,myjobquote
A1 ROOFING SERVICE AND UPVC,,Guttering,,,5,3,,ID Checked,,,1990,https://www.myjobquote.co.uk/t/a1-roofing-service-and-upvc,myjobquote
SkyLine RoofCare,,Guttering,,,5,2,,ID Checked,,,Oct 2025,https://www.myjobquote.co.uk/t/skyline-roofcare,myjobquote
Mayfair Property Solutions LTD,,Guttering,,,5,1,,ID Checked,,,1998,https://www.myjobquote.co.uk/t/mayfair-property-solutions-ltd,myjobquote
Shield roofing & build,,Guttering,,,4,1,,ID Checked,,,Oct 2025,https://www.myjobquote.co.uk/t/shield-roofing-build,myjobquote
AC ROOFING & BUILDING LTD,,Guttering,,,4,1,,ID Checked; Public Liability Insurance,,,Feb 2024,https://www.myjobquote.co.uk/t/ac-roofing-building-ltd,myjobquote
Platinum stone,,Guttering,,,5,1,,ID Checked,,,Nov 2025,https://www.myjobquote.co.uk/t/platinum-stone,myjobquote
TC home improvements,,Guttering,,,5,5,,ID Checked,,,2003,https://www.myjobquote.co.uk/t/tc-home-improvements-3,myjobquote
Supreme O Roofing Ltd,,Guttering,,,4,1,07418317156,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/supreme-o-roofing-ltd,myjobquote
The L&C Group Ltd,,Guttering,,,5,3,,ID Checked,,,2000,https://www.myjobquote.co.uk/t/the-lc-group-ltd,myjobquote
J&B Roofing,,Guttering,,,5,3,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/jb-roofing-14,myjobquote
HighRise Roofing&Building,,Guttering,,,5,2,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/highrise-roofingbuilding,myjobquote
Lewis & Sons Home Improvements Ltd,,Guttering,,,5,2,,ID Checked,,,May 2025,https://www.myjobquote.co.uk/t/lewis-sons-home-improvements-ltd,myjobquote
Peak perfection,,Guttering,,,4,1,,ID Checked,,,Sep 2025,https://www.myjobquote.co.uk/t/peak-perfection-1,myjobquote
Complex roofing & general maintenance,,Guttering,,,5,1,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/complex-roofing-general-maintenance,myjobquote
W.martin roofing&contractors ltd,,Guttering,,,5,1,,ID Checked,,,Sep 2025,https://www.myjobquote.co.uk/t/wmartin-roofingcontractors-ltd,myjobquote
UK ROOFING CONTRACTORS LIMITED,,Guttering,,,5,1,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/uk-roofing-contractors-limited-1,myjobquote
STORM GUARD ROOFING & BUILDING LTD,,Guttering,,,5,9,07418369101,ID Checked,,,2023,https://www.myjobquote.co.uk/t/storm-guard-roofing-building-ltd,myjobquote
A.N.R roofing,,Guttering,,,4.8,13,07418368334,ID Checked; Public Liability Insurance,,,2016,https://www.myjobquote.co.uk/t/anr-roofing,myjobquote
Inner City Roofing,,Guttering,,,4,10,,ID Checked,,,2005,https://www.myjobquote.co.uk/t/inner-city-roofing-1,myjobquote
T&M Home improvement Ltd,,Guttering,,,3.9,13,07418318714,ID Checked; Public Liability Insurance,,,2014,https://www.myjobquote.co.uk/t/tm-home-improvement-ltd,myjobquote
Hybrid Roofing,,Guttering,,,5,4,,ID Checked; Public Liability Insurance,,,Aug 2020,https://www.myjobquote.co.uk/t/hybrid-roofing,myjobquote
Flow right,,Guttering,,,5,2,07451261274,ID Checked,,,Mar 2023,https://www.myjobquote.co.uk/t/flow-right-2,myjobquote
Access Home Improvements,,Guttering,,,5,4,,ID Checked,,,Feb 2026,https://www.myjobquote.co.uk/t/access-home-improvements,myjobquote
Johnroofing ltd,,Guttering,,,5,1,07451261256,ID Checked,,,2005,https://www.myjobquote.co.uk/t/johnroofing-ltd,myjobquote
SK CONSULTING AND SERVICES LIMITED,,Guttering,,,5,2,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/sk-consulting-and-services-limited,myjobquote
Nrs roofing services,,Guttering,,,5,1,07418317352,ID Checked,,,2012,https://www.myjobquote.co.uk/t/nrs-roofing-services,myjobquote
Howdens Roofing and Building Ltd,,Guttering,,,5,2,07418349032,ID Checked,,,Aug 2025,https://www.myjobquote.co.uk/t/howdens-roofing-and-building-ltd,myjobquote
Active home improvements,,Guttering,,,4,1,,ID Checked,,,Aug 2025,https://www.myjobquote.co.uk/t/active-home-improvements,myjobquote
Ayres Building&Roofing LTD,,Guttering,,,5,1,,ID Checked,,,Nov 2023,https://www.myjobquote.co.uk/t/ayres-buildingroofing-ltd,myjobquote
Tuti Builders,,Guttering,,,5,6,07418340400,ID Checked,,,2018,https://www.myjobquote.co.uk/t/tuti-builders,myjobquote
S.O Roofing,,Guttering,,,5,15,,ID Checked,,,Jul 2025,https://www.myjobquote.co.uk/t/so-roofing,myjobquote
Cornerstone Property Solutions UK Ltd,,Guttering,,,5,4,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/cornerstone-property-solutions-uk-ltd,myjobquote
Pow Wash,,Guttering,,,5,2,,ID Checked,,,Jul 2025,https://www.myjobquote.co.uk/t/pow-wash,myjobquote
Alpha Construction,,Guttering,,,5,2,,ID Checked,,,1982,https://www.myjobquote.co.uk/t/alpha-construction-6,myjobquote
Ervis Cakoni,,Guttering,,,5,5,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/ervis-cakoni,myjobquote
TM Exterior Property Maintenance,,Guttering,,,4.3,15,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/tm-exterior-property-maintenance,myjobquote
Tar Village,,Guttering,,,5,3,,ID Checked,,,Sep 2023,https://www.myjobquote.co.uk/t/tar-village,myjobquote
Thomas ball property services,,Guttering,,,4.8,19,07441440879,ID Checked,,,1999,https://www.myjobquote.co.uk/t/thomas-ball-property-services-1,myjobquote
Xpert Builders,,Guttering,,,4.4,8,,ID Checked,,,Oct 2018,https://www.myjobquote.co.uk/t/xpert-builders,myjobquote
RainMaster roofing & building ltd,,Guttering,,,3,1,,ID Checked,,,2013,https://www.myjobquote.co.uk/t/rainmaster-roofing-building-ltd,myjobquote
Oakland Gardening Maintenance,,Guttering,,,3,1,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/oakland-gardening-maintenance-1,myjobquote
Roof Rite Roofing and Building,,Guttering,,,1,1,,ID Checked; Public Liability Insurance,,,Jan 2024,https://www.myjobquote.co.uk/t/roof-rite-roofing-and-building,myjobquote
