company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Milano Home Improvements,,Pebble Dashing,,,4.9,43,07451260666,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/milano-home-improvements,myjobquote
R & G Plastering,,Pebble Dashing,,,5,24,,ID Checked,,,1999,https://www.myjobquote.co.uk/t/r-g-plastering,myjobquote
V plastering,,Pebble Dashing,,,5,21,,ID Checked; Public Liability Insurance,,,2013,https://www.myjobquote.co.uk/t/v-plastering,myjobquote
Lukasz,,Pebble Dashing,,,5,11,07418361230,ID Checked,,,2016,https://www.myjobquote.co.uk/t/lukasz-7,myjobquote
Jordan John-Phillip,,Pebble Dashing,,,5,9,07451260886,ID Checked,,,2014,https://www.myjobquote.co.uk/t/jordan-john-phillip,myjobquote
TC Plastering & Decorating,,Pebble Dashing,,,5,6,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/tc-plastering-decorating,myjobquote
ART-Plastering,,Pebble Dashing,,,5,4,,ID Checked,,,Jul 2019,https://www.myjobquote.co.uk/t/art-plastering,myjobquote
AS plastering,,Pebble Dashing,,,5,1,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/as-plastering-4,myjobquote
Pubble Plastering,,Pebble Dashing,,,5,1,,ID Checked; Public Liability Insurance,,,Feb 2026,https://www.myjobquote.co.uk/t/pubble-plastering,myjobquote
Dcb plastering services,,Pebble Dashing,,,5,1,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/dcb-plastering-services,myjobquote
Clement Plastering,,Pebble Dashing,,,5,1,,ID Checked; Public Liability Insurance,,,Jan 2024,https://www.myjobquote.co.uk/t/clement-plastering,myjobquote
Chris,,Pebble Dashing,,,5,8,07451260594,ID Checked,,,Feb 2026,https://www.myjobquote.co.uk/t/chris-149,myjobquote
RJs Drylining,,Pebble Dashing,,,5,4,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/rjs-drylining,myjobquote
All weeks plastering,,Pebble Dashing,,,4,3,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/all-weeks-plastering,myjobquote
Rmack Builders,,Pebble Dashing,,,5,2,,ID Checked,,,2002,https://www.myjobquote.co.uk/t/rmack-builders,myjobquote
Treatexwall Coatings Ltd,,Pebble Dashing,,,5,1,,ID Checked; Public Liability Insurance,,,2000,https://www.myjobquote.co.uk/t/treatexwall-coatings-ltd,myjobquote
Sovereign Surfaces,,Pebble Dashing,,,5,1,,ID Checked,,,Jun 2016,https://www.myjobquote.co.uk/t/sovereign-surfaces,myjobquote
T R property maintenance,,Pebble Dashing,,,5,6,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/t-r-property-maintenance-2,myjobquote
Daniel Plastering,,Pebble Dashing,,,5,5,,ID Checked,,,2012,https://www.myjobquote.co.uk/t/daniel-plastering,myjobquote
