company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
London,,Tiler,,,4.9,22,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/london-12,myjobquote
Trade myself,,Tiler,,,5,11,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/trade-myself,myjobquote
Kris Kozlowski,,Tiler,,,5,6,,ID Checked,,,1995,https://www.myjobquote.co.uk/t/kris-kozlowski,myjobquote
MJ BUILDER,,Tiler,,,4,2,,ID Checked,,,2009,https://www.myjobquote.co.uk/t/mj-builder,myjobquote
LS Tiling,,Tiler,,,5,2,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/ls-tiling-5,myjobquote
O&#039;s tiles,,Tiler,,,5,75,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/os-tiles,myjobquote
Ryckytiling,,Tiler,,,4,21,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/ryckytiling,myjobquote
Domi Ltd,,Tiler,,,5,3,07418374646,ID Checked,,,2020,https://www.myjobquote.co.uk/t/domi-ltd,myjobquote
Pink Budget Builders,,Tiler,,,4,9,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/pink-budget-builders,myjobquote
All 4 Tiling JB Ltd,,Tiler,,,5,16,,ID Checked,,,2000,https://www.myjobquote.co.uk/t/all-4-tiling-jb-ltd,myjobquote
Versatile Wall & Floor Tile Specialist,,Tiler,,,5,1,07418364126,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/versatile-wall-floor-tile-specialist,myjobquote
Key2you,,Tiler,,,5,1,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/key2you,myjobquote
Thompson Tilers,,Tiler,,,5,10,,ID Checked,,,2009,https://www.myjobquote.co.uk/t/thompson-tilers,myjobquote
LS design& build,,Tiler,,,5,1,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/ls-design-build,myjobquote
A&K Contractor Services Ltd,,Tiler,,,5,11,07418371942,ID Checked; Public Liability Insurance,,,2007,https://www.myjobquote.co.uk/t/ak-contractor-services-ltd,myjobquote
OXARA,,Tiler,,,5,2,,Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/oxara,myjobquote
OX Construction,,Tiler,,,5,2,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/ox-construction-1,myjobquote
Lit Gas,,Tiler,,,5,2,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/lit-gas-1,myjobquote
Jurek,,Tiler,,,5,1,,ID Checked,,,2008,https://www.myjobquote.co.uk/t/jurek,myjobquote
Krzysztof DZIDO,,Tiler,,,5,22,,ID Checked,,,2012,https://www.myjobquote.co.uk/t/krzysztof-dzido,myjobquote
Tiling Sino LTD,,Tiler,,,4.68,0,,,,,2018,https://www.myjobquote.co.uk/t/tiling-sino-ltd,myjobquote
Trader,,Tiler,,,4.68,0,,,,,Feb 2021,https://www.myjobquote.co.uk/t/trader-4,myjobquote
Trader,,Tiler,,,4.68,0,,,,,2017,https://www.myjobquote.co.uk/t/ro-bathroom-designs,myjobquote
C&I Build LTD,,Tiler,,,4.68,0,,ID Checked; Public Liability Insurance,,,2026,https://www.myjobquote.co.uk/t/ci-build-ltd,myjobquote
THS Tiling & Handyman Services,,Tiler,,,4.68,0,,ID Checked,,,Aug 2022,https://www.myjobquote.co.uk/t/ths-tiling-handyman-services,myjobquote
Self employed,,Tiler,,,4.68,0,,ID Checked,,,Mar 2026,https://www.myjobquote.co.uk/t/self-employed-693,myjobquote
Roland Csicsely,,Tiler,,,4.68,0,,ID Checked,,,2006,https://www.myjobquote.co.uk/t/roland-csicsely,myjobquote
Pavel,,Tiler,,,4.68,0,,ID Checked,,,Jul 2020,https://www.myjobquote.co.uk/t/pavel-27,myjobquote
Pavel,,Tiler,,,4.68,0,,ID Checked,,,May 2024,https://www.myjobquote.co.uk/t/valentin-construction,myjobquote
Valentin Construction,,Tiler,,,4.68,0,,,,,Feb 2025,https://www.myjobquote.co.uk/t/god-plans,myjobquote
God plans,,Tiler,,,4.68,0,,ID Checked; Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/toner-sons-tiling-company,myjobquote
Oddee,,Tiler,,,4.68,0,,ID Checked,,,Mar 2025,https://www.myjobquote.co.uk/t/oddee,myjobquote
Antares,,Tiler,,,4.68,0,,ID Checked,,,May 2023,https://www.myjobquote.co.uk/t/antares,myjobquote
Tiler,,Tiler,,,4.68,0,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/tiler-130,myjobquote
brothers builders,,Tiler,,,4.68,0,,ID Checked,,,Jul 2025,https://www.myjobquote.co.uk/t/brothers-builders-4,myjobquote
brothers builders,,Tiler,,,4.68,0,,,,,Sep 2025,https://www.myjobquote.co.uk/t/dimashqi,myjobquote
Dimashqi,,Tiler,,,4.68,0,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/rebuilding-house,myjobquote
STEFY BUSINESSES GROUP LTD,,Tiler,,,4.68,0,,ID Checked,,,Jan 2022,https://www.myjobquote.co.uk/t/stefy-businesses-group-ltd,myjobquote
Jones building,,Tiler,,,4.68,0,,,,,Mar 2024,https://www.myjobquote.co.uk/t/jones-building-1,myjobquote
Jones building,,Tiler,,,4.68,0,,,,,1994,https://www.myjobquote.co.uk/t/rd-tiling-1,myjobquote
Oconnors,,Tiler,,,4.68,0,,ID Checked,,,Mar 2025,https://www.myjobquote.co.uk/t/oconnors-1,myjobquote
JevTiling,,Tiler,,,4.68,0,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/jevtiling,myjobquote
Nrg-Building and cleaning,,Tiler,,,4.68,0,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/nrg-building-and-cleaning,myjobquote
Alhomsi,,Tiler,,,4.68,0,,ID Checked,,,Jul 2022,https://www.myjobquote.co.uk/t/alhomsi,myjobquote
Adrian Adi Builder ltd,,Tiler,,,4.68,0,,ID Checked,,,Sep 2025,https://www.myjobquote.co.uk/t/adrian-adi-builder-ltd,myjobquote
Pro Tile K-S,,Tiler,,,4.68,0,,ID Checked,,,2026,https://www.myjobquote.co.uk/t/pro-tile-k-s,myjobquote
Viorel Morar,,Tiler,,,4.68,0,,,,,Mar 2023,https://www.myjobquote.co.uk/t/viorel-morar,myjobquote
Viorel Morar,,Tiler,,,4.68,0,,,,,Jan 2024,https://www.myjobquote.co.uk/t/day-jobs-buliders,myjobquote
Day jobs buliders,,Tiler,,,4.68,0,,,,,Aug 2024,https://www.myjobquote.co.uk/t/neculai-aldea,myjobquote
Neculai Aldea,,Tiler,,,4.68,0,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/tommy-tiles,myjobquote
Tommy Tiles,,Tiler,,,4.68,0,,ID Checked,,,Jul 2022,https://www.myjobquote.co.uk/t/tailor,myjobquote
Tiler,,Tiler,,,4.68,0,,,,,Jan 2025,https://www.myjobquote.co.uk/t/tiler-76,myjobquote
Tiler,,Tiler,,,4.68,0,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/bera1-construction,myjobquote
Cospect Expert Ltd,,Tiler,,,4.68,0,,ID Checked,,,Jan 2025,https://www.myjobquote.co.uk/t/cospect-expert-ltd,myjobquote
Northconstruction LTD,,Tiler,,,4.68,0,,ID Checked,,,Jan 2021,https://www.myjobquote.co.uk/t/northconstruction-ltd,myjobquote
Northconstruction LTD,,Tiler,,,4.68,0,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/sf-tiling-solutions,myjobquote
dhillon construction,,Tiler,,,4.68,0,,ID Checked,,,Jun 2024,https://www.myjobquote.co.uk/t/dhillon-construction-3,myjobquote
Virtuous Consultancy,,Tiler,,,4.68,0,,,,,2018,https://www.myjobquote.co.uk/t/virtuous-consultancy,myjobquote
S.R.I BUILDING CONST LIMITED,,Tiler,,,4.68,0,,,,,2015,https://www.myjobquote.co.uk/t/sri-building-const-limited,myjobquote
stone marble and tiling ltd,,Tiler,,,4.68,0,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/stone-marble-and-tiling-ltd,myjobquote
Apex kitchens & bathrooms,,Tiler,,,4.68,0,,,,,Jul 2025,https://www.myjobquote.co.uk/t/apex-kitchens-bathrooms,myjobquote
Triston,,Tiler,,,4.68,0,,,,,Jul 2025,https://www.myjobquote.co.uk/t/triston,myjobquote
Triston,,Tiler,,,4.68,0,,ID Checked,,,Mar 2024,https://www.myjobquote.co.uk/t/wael-kt4,myjobquote
LSAC-LTD,,Tiler,,,4.68,0,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/lsac-ltd,myjobquote
Tiler Marius,,Tiler,,,4.68,0,,ID Checked,,,Feb 2023,https://www.myjobquote.co.uk/t/tiler-marius,myjobquote
Tiler Marius,,Tiler,,,4.68,0,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/bilal-tiler,myjobquote
TILER 4 YOU,,Tiler,,,4.68,0,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/tiler-4-you,myjobquote
Tiler,,Tiler,,,4.68,0,,ID Checked,,,Mar 2024,https://www.myjobquote.co.uk/t/tiler-46,myjobquote
Tiler,,Tiler,,,4.68,0,,,,,Feb 2023,https://www.myjobquote.co.uk/t/tiler-142,myjobquote
Tiler,,Tiler,,,4.68,0,,,,,Dec 2025,https://www.myjobquote.co.uk/t/luca-ortolani,myjobquote
Luca ortolani,,Tiler,,,4.68,0,,,,,2016,https://www.myjobquote.co.uk/t/a-s-builder-1,myjobquote
A-s-builder,,Tiler,,,4.68,0,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/kz-tiling,myjobquote
