company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Glazing Prime LTD,,Window Fitter,,,5,20,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/glazing-prime-ltd,myjobquote
Vision doors and windows,,Window Fitter,,,5,8,,ID Checked; Public Liability Insurance,,,2016,https://www.myjobquote.co.uk/t/vision-doors-and-windows,myjobquote
KMI Windows Ltd,,Window Fitter,,,5,5,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/kmi-windows-ltd,myjobquote
Sam shopfitter Ltd,,Window Fitter,,,5,2,07418317224,ID Checked,,,2022,https://www.myjobquote.co.uk/t/sam-shopfitter-ltd,myjobquote
Correct Window and Door Repairs ltd,,Window Fitter,,,5,55,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/correct-window-and-door-repairs-ltd-1,myjobquote
All type glazing,,Window Fitter,,,4,41,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/all-type-glazing,myjobquote
GB SERVICES,,Window Fitter,,,5,13,,ID Checked; Public Liability Insurance,,,2003,https://www.myjobquote.co.uk/t/gb-services-3,myjobquote
Wembley Windows SC Ltd,,Window Fitter,,,5,7,,ID Checked; Public Liability Insurance,,,1994,https://www.myjobquote.co.uk/t/wembley-windows-sc-ltd,myjobquote
RezaH,,Window Fitter,,,5,5,,ID Checked,,,Jan 2025,https://www.myjobquote.co.uk/t/rezah-1,myjobquote
Tgs Southern Ltd,,Window Fitter,,,5,2,,ID Checked,,,1980,https://www.myjobquote.co.uk/t/tgs-southern-ltd,myjobquote
Clarkes Door & Window Maintenance,,Window Fitter,,,5,11,07451279717,ID Checked,,,2016,https://www.myjobquote.co.uk/t/clarkes-door-window-maintenance,myjobquote
David Kiss,,Window Fitter,,,5,8,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/david-kiss,myjobquote
ertanglass and windows,,Window Fitter,,,5,4,,ID Checked,,,Aug 2024,https://www.myjobquote.co.uk/t/ertanglass-and-windows,myjobquote
Fleur glass,,Window Fitter,,,5,4,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/fleur-glass,myjobquote
